Date,Authority,Definition,Exception,Precedent,Rescinding,Amending
10-28-2021,49,53,25,27,33,36
11-15-2021,27,43,27,40,46,46
07-18-2022,48,52,43,10,10,17
07-28-2022,50,13,11,50,52,19
08-16-2022,24,40,21,18,49,37
12-29-2022,42,42,11,53,51,31
01-09-2023,41,15,36,34,42,52
02-02-2023,41,34,36,48,35,54
02-09-2023,7,15,40,8,27,8
03-17-2023,23,16,33,41,7,49
03-30-2023,47,48,26,22,5,53
04-03-2023,32,50,55,17,16,8
05-02-2023,47,41,9,22,55,7
05-16-2023,54,41,27,55,20,55
05-22-2023,25,15,42,35,54,7
06-03-2023,47,15,55,22,22,29
06-07-2023,15,53,11,49,10,17
06-07-2023,16,5,52,13,48,12
06-07-2023,42,37,11,30,29,9
06-13-2023,32,40,46,23,25,6
06-27-2023,30,20,27,47,34,33
06-27-2023,42,28,9,12,46,13
07-10-2023,5,32,32,39,51,8
07-14-2023,38,16,35,23,14,24
07-17-2023,35,25,16,26,31,47
07-17-2023,15,51,6,53,11,42
07-20-2023,52,10,31,53,48,28
07-24-2023,13,24,17,43,15,16
07-26-2023,50,10,23,32,12,46
07-27-2023,52,50,25,51,27,39
07-27-2023,44,30,9,52,33,50
09-08-2023,22,20,29,15,54,9
09-18-2023,11,7,39,16,54,36
09-19-2023,44,11,32,50,38,15
09-20-2023,21,17,36,16,33,42
09-30-2023,52,42,38,42,13,32
10-04-2023,21,44,6,21,22,30
10-06-2023,44,18,16,31,49,30
10-06-2023,44,48,5,12,13,44
10-16-2023,55,34,6,13,18,35
10-25-2023,12,42,27,9,12,25
10-25-2023,9,5,18,48,13,32
11-01-2023,7,5,47,24,24,34
11-06-2023,25,12,47,26,49,30
11-07-2023,34,25,32,11,29,14
11-08-2023,46,31,47,23,25,36
11-17-2023,17,33,46,24,21,29
11-29-2023,11,55,10,28,21,17
12-04-2023,51,46,52,46,23,45
12-04-2023,47,28,17,15,45,14
12-05-2023,10,23,26,18,45,6
12-07-2023,16,6,24,15,20,35
12-13-2023,7,46,49,15,23,34
12-20-2023,31,55,17,21,47,46
12-22-2023,41,14,47,31,45,12
01-11-2024,41,32,55,48,23,36
01-19-2024,26,12,19,44,26,13
01-25-2024,34,47,9,15,29,48
02-01-2024,16,51,27,13,43,38
02-04-2024,30,7,55,32,38,35
02-06-2024,36,11,24,21,49,18
02-29-2024,20,9,39,50,7,27
03-08-2024,47,27,19,51,23,52
03-09-2024,6,32,52,37,44,9
03-11-2024,36,38,19,24,13,47
03-12-2024,50,33,24,41,38,33
03-14-2024,53,21,45,24,22,32
03-21-2024,55,43,14,51,33,12
03-22-2024,18,8,49,43,18,43
04-09-2024,35,45,18,45,10,50
04-10-2024,34,19,42,6,7,48
04-16-2024,15,33,25,23,16,34
04-18-2024,32,49,13,9,43,32
04-24-2024,43,18,25,48,18,51
05-14-2024,45,38,5,26,34,34
05-16-2024,15,35,38,24,38,44
05-16-2024,32,40,24,38,15,13
05-20-2024,37,5,7,35,30,14
05-21-2024,54,9,36,44,7,17
05-28-2024,38,27,16,15,39,27
06-03-2024,24,47,17,26,39,53
06-05-2024,7,37,12,33,31,29
06-14-2024,21,54,26,23,8,6
06-25-2024,6,48,27,11,36,21
07-08-2024,9,19,25,22,50,25
07-08-2024,40,41,44,31,22,13
07-08-2024,31,23,35,16,49,33
07-09-2024,39,36,17,53,19,37
07-23-2024,15,11,42,7,20,7
07-23-2024,5,42,5,45,22,13
07-30-2024,35,44,40,43,15,14
08-01-2024,22,37,11,13,48,6
09-09-2024,34,41,34,14,23,28
09-09-2024,11,18,52,11,32,19
09-10-2024,8,34,37,13,14,51
09-10-2024,40,42,38,33,21,35
09-10-2024,23,38,28,13,55,30
09-16-2024,15,50,55,19,22,13
09-18-2024,38,12,17,11,38,14
09-26-2024,13,47,9,38,34,38
10-02-2024,27,15,11,17,50,54
11-12-2024,18,22,35,39,19,9
11-18-2024,37,37,42,11,26,11
12-12-2024,20,30,25,55,35,14
12-17-2024,19,10,27,25,13,30
12-23-2024,45,48,43,7,26,41
12-23-2024,46,54,25,22,43,47
