Date,Authority,Definition,Exception,Precedent,Rescinding,Amending
10-28-2021,48,12,37,27,16,54
11-15-2021,44,52,10,47,26,41
07-18-2022,29,55,46,25,23,17
07-28-2022,5,41,10,10,31,46
08-16-2022,47,19,46,14,23,22
12-29-2022,23,48,14,54,19,38
01-09-2023,35,35,15,45,26,7
02-02-2023,55,40,53,14,38,37
02-09-2023,10,20,42,35,41,50
03-17-2023,28,52,47,25,12,38
03-30-2023,28,31,30,55,12,36
04-03-2023,44,51,9,55,42,8
05-02-2023,35,14,51,43,24,37
05-16-2023,6,47,52,30,29,12
05-22-2023,50,48,44,28,45,54
06-03-2023,13,12,29,34,31,22
06-07-2023,45,12,12,10,29,30
06-07-2023,35,22,27,43,16,54
06-07-2023,43,14,39,52,5,39
06-13-2023,22,12,25,25,5,11
06-27-2023,43,19,30,34,21,24
06-27-2023,42,55,21,35,18,49
07-10-2023,54,38,33,41,8,52
07-14-2023,26,46,50,10,5,39
07-17-2023,30,14,51,36,32,21
07-17-2023,11,45,30,26,33,42
07-20-2023,9,27,28,22,15,28
07-24-2023,29,34,31,32,44,28
07-26-2023,41,49,24,36,51,26
07-27-2023,23,44,7,44,17,9
07-27-2023,14,31,37,5,43,22
09-08-2023,38,31,34,37,31,16
09-18-2023,25,10,28,13,48,51
09-19-2023,48,31,23,42,55,37
09-20-2023,43,45,42,21,9,16
09-30-2023,31,48,7,14,45,19
10-04-2023,14,9,34,13,55,42
10-06-2023,12,8,18,42,20,14
10-06-2023,38,19,52,46,21,23
10-16-2023,32,24,41,16,38,36
10-25-2023,30,24,13,24,52,19
10-25-2023,36,18,12,55,43,7
11-01-2023,31,17,30,42,24,12
11-06-2023,8,33,52,35,23,39
11-07-2023,48,26,12,47,36,50
11-08-2023,45,29,14,41,5,52
11-17-2023,10,17,32,28,47,38
11-29-2023,5,54,29,30,35,54
12-04-2023,9,29,55,50,11,45
12-04-2023,53,27,42,11,47,24
12-05-2023,13,42,26,51,28,31
12-07-2023,41,26,29,30,16,23
12-13-2023,50,19,30,23,52,27
12-20-2023,30,17,21,20,37,33
12-22-2023,26,21,19,37,28,42
01-11-2024,6,18,34,38,17,43
01-19-2024,29,11,17,24,19,26
01-25-2024,31,54,39,34,51,34
02-01-2024,44,50,35,46,31,23
02-04-2024,48,8,33,54,55,45
02-06-2024,37,50,32,32,52,33
02-29-2024,40,24,16,16,5,38
03-08-2024,24,5,26,36,49,25
03-09-2024,47,47,29,41,34,30
03-11-2024,39,32,12,51,21,29
03-12-2024,12,27,46,43,30,45
03-14-2024,29,20,32,44,45,34
03-21-2024,47,13,15,25,32,47
03-22-2024,7,50,34,20,9,33
04-09-2024,42,8,9,5,9,32
04-10-2024,47,42,26,39,50,21
04-16-2024,5,52,39,46,24,52
04-18-2024,52,19,28,37,35,23
04-24-2024,54,27,49,18,52,30
05-14-2024,35,19,23,54,50,21
05-16-2024,8,36,15,30,28,42
05-16-2024,10,33,14,17,55,25
05-20-2024,7,46,17,8,44,41
05-21-2024,15,23,41,32,34,23
05-28-2024,20,14,9,27,33,39
06-03-2024,52,55,19,19,45,26
06-05-2024,14,16,28,50,18,31
06-14-2024,15,6,5,37,54,38
06-25-2024,50,15,6,45,23,21
07-08-2024,5,51,32,8,40,45
07-08-2024,22,34,45,31,55,38
07-08-2024,19,13,49,49,9,9
07-09-2024,7,32,13,34,30,26
07-23-2024,38,26,15,17,38,12
07-23-2024,18,39,49,43,29,37
07-30-2024,21,10,27,26,39,31
08-01-2024,44,23,26,34,7,31
09-09-2024,5,43,51,48,41,13
09-09-2024,8,29,18,14,31,48
09-10-2024,23,10,14,54,12,27
09-10-2024,47,45,7,44,8,43
09-10-2024,11,28,40,27,19,40
09-16-2024,14,43,37,55,16,16
09-18-2024,8,35,27,19,19,45
09-26-2024,22,9,9,32,12,39
10-02-2024,14,13,27,11,46,10
11-12-2024,16,14,31,39,50,9
11-18-2024,33,10,41,44,51,25
12-12-2024,34,20,18,11,11,18
12-17-2024,51,30,16,23,40,53
12-23-2024,30,11,46,53,9,29
12-23-2024,46,35,32,25,41,14
