Date,Definition,Exception,Precedent,Rescinding,Amending
11-15-2021,6,0,8,0,44
07-18-2022,4,0,0,0,19
07-28-2022,6,4,9,0,22
08-16-2022,16,1,0,0,21
12-29-2022,9,3,24,0,7
01-09-2023,0,0,0,0,2
02-09-2023,0,0,0,0,0
03-30-2023,0,0,0,0,1
05-02-2023,6,0,3,0,0
05-16-2023,13,1,0,0,12
05-22-2023,3,0,0,0,8
06-03-2023,0,0,0,0,1
06-07-2023,1,0,0,0,0
06-27-2023,4,2,5,0,1
07-10-2023,6,1,0,0,10
07-14-2023,1,0,0,0,0
07-17-2023,6,1,0,0,3
07-20-2023,0,0,0,0,1
07-24-2023,6,1,1,0,1
07-27-2023,0,0,1,0,0
09-08-2023,7,0,0,0,9
09-18-2023,0,0,0,0,0
09-19-2023,12,0,0,0,20
09-20-2023,5,0,0,0,0
09-30-2023,0,3,1,0,9
10-06-2023,1,4,6,0,0
10-16-2023,0,0,2,0,0
10-25-2023,7,0,2,0,4
11-01-2023,0,2,1,0,0
11-06-2023,0,0,0,0,0
11-07-2023,3,16,2,0,0
11-17-2023,1,0,3,0,6
11-29-2023,7,0,1,0,6
12-04-2023,3,1,0,0,14
12-05-2023,0,0,0,0,2
12-07-2023,0,0,0,0,0
12-13-2023,1,1,0,0,16
12-22-2023,11,1,14,0,14
01-11-2024,5,0,0,0,7
01-19-2024,0,1,0,0,3
02-01-2024,1,0,0,0,0
02-04-2024,0,0,0,0,3
02-29-2024,5,0,0,0,6
03-08-2024,0,0,0,0,1
03-09-2024,2,12,6,0,0
03-11-2024,10,2,1,0,12
03-12-2024,0,0,0,0,3
03-22-2024,0,0,1,0,2
04-10-2024,5,0,0,0,22
04-18-2024,7,1,4,0,11
04-24-2024,6,0,0,0,0
05-14-2024,7,0,0,0,0
05-16-2024,2,0,0,0,8
05-20-2024,11,4,4,0,35
05-21-2024,25,2,3,0,129
06-03-2024,0,0,0,0,1
06-05-2024,2,0,0,0,0
06-14-2024,2,1,3,0,0
06-25-2024,6,1,5,0,30
07-08-2024,1,0,0,0,23
07-09-2024,12,0,0,0,2
07-23-2024,6,0,3,0,34
07-30-2024,4,0,1,0,1
08-01-2024,3,5,3,0,0
09-09-2024,6,2,0,0,13
09-10-2024,0,0,0,0,1
09-18-2024,1,0,0,0,0
09-26-2024,0,0,0,0,0
10-02-2024,0,1,0,0,0
11-12-2024,5,0,1,0,6
12-17-2024,22,10,10,0,26
12-23-2024,1,0,0,0,13
