Date,Definition,Exception,Precedent,Amending,Authority
11-15-2021,4,0,4,54,132
07-18-2022,5,0,3,14,10
07-28-2022,7,10,6,25,278
08-16-2022,7,0,1,23,27
12-29-2022,2,1,11,38,451
01-09-2023,0,0,0,4,0
02-09-2023,0,0,0,0,3
03-17-2023,2,0,0,0,1
03-30-2023,0,0,0,2,0
04-03-2023,0,0,0,1,0
05-02-2023,3,0,1,0,2
05-16-2023,10,4,2,9,11
05-22-2023,3,0,0,12,6
06-03-2023,0,0,0,4,21
06-07-2023,3,0,0,0,0
06-27-2023,6,2,2,5,64
07-10-2023,2,0,0,12,7
07-14-2023,4,0,0,1,1
07-17-2023,3,1,4,5,57
07-20-2023,0,0,0,1,0
07-24-2023,3,0,1,2,31
07-27-2023,0,0,0,0,1
09-08-2023,4,0,0,13,6
09-18-2023,0,0,0,0,2
09-19-2023,14,0,2,11,10
09-20-2023,9,0,0,1,3
09-30-2023,0,0,1,13,15
10-06-2023,2,0,4,1,31
10-16-2023,1,2,0,0,10
10-25-2023,2,1,1,3,23
11-01-2023,2,1,1,0,12
11-06-2023,0,0,0,0,2
11-07-2023,3,8,4,0,60
11-08-2023,0,0,0,1,0
11-17-2023,1,0,0,19,10
11-29-2023,11,1,1,4,9
12-04-2023,5,1,0,16,7
12-05-2023,3,0,0,2,0
12-13-2023,3,1,0,15,2
12-20-2023,0,0,1,0,0
12-22-2023,6,0,1,40,386
01-11-2024,4,0,0,12,4
01-19-2024,0,0,0,5,3
02-04-2024,0,0,2,6,0
02-06-2024,0,0,0,1,0
02-29-2024,7,0,0,7,5
03-09-2024,3,3,3,19,249
03-11-2024,10,0,0,17,1
03-12-2024,0,0,0,5,0
03-22-2024,0,0,0,2,1
04-10-2024,8,0,0,30,3
04-18-2024,6,0,1,9,46
04-24-2024,4,0,0,6,19
05-14-2024,6,1,0,0,3
05-16-2024,1,0,0,20,22
05-20-2024,13,1,2,53,50
05-21-2024,21,5,0,124,36
06-03-2024,0,0,0,1,0
06-05-2024,3,0,0,0,1
06-14-2024,1,2,0,1,14
06-25-2024,5,0,4,43,22
07-08-2024,3,0,1,23,45
07-09-2024,4,0,0,4,10
07-23-2024,6,0,1,44,32
07-30-2024,3,0,0,0,8
08-01-2024,1,2,2,1,38
09-09-2024,23,0,0,19,6
09-18-2024,0,0,0,1,0
09-26-2024,0,0,0,3,16
10-02-2024,0,0,0,0,1
11-12-2024,6,0,1,12,7
12-17-2024,26,4,6,35,224
12-23-2024,1,0,0,7,101
