Date, Authority,Definition,Exception,Precedent,Rescinding,Amending
10-28-2021,32,43,39,53,12,26
11-15-2021,32,43,39,53,12,26
07-18-2022,32,43,39,53,12,26
07-28-2022,32,43,39,53,12,26
08-16-2022,32,43,39,53,12,26
12-29-2022,32,43,39,53,12,26
01-09-2023,32,43,39,53,12,26
02-02-2023,32,43,39,53,12,26
02-09-2023,32,43,39,53,12,26
03-17-2023,32,43,39,53,12,26
03-30-2023,32,43,39,53,12,26
04-03-2023,32,43,39,53,12,26
05-02-2023,32,43,39,53,12,26
05-16-2023,32,43,39,53,12,26
05-22-2023,32,43,39,53,12,26
06-03-2023,32,43,39,53,12,26
06-07-2023,32,43,39,53,12,26
06-07-2023,32,43,39,53,12,26
06-07-2023,32,43,39,53,12,26
06-13-2023,32,43,39,53,12,26
06-27-2023,32,43,39,53,12,26
06-27-2023,32,43,39,53,12,26
07-10-2023,32,43,39,53,12,26
07-14-2023,32,43,39,53,12,26
07-17-2023,32,43,39,53,12,26
07-17-2023,32,43,39,53,12,26
07-20-2023,32,43,39,53,12,26
07-24-2023,32,43,39,53,12,26
07-26-2023,32,43,39,53,12,26
07-27-2023,32,43,39,53,12,26
07-27-2023,32,43,39,53,12,26
09-08-2023,32,43,39,53,12,26
09-18-2023,32,43,39,53,12,26
09-19-2023,32,43,39,53,12,26
09-20-2023,32,43,39,53,12,26
09-30-2023,32,43,39,53,12,26
10-04-2023,32,43,39,53,12,26
10-06-2023,32,43,39,53,12,26
10-06-2023,32,43,39,53,12,26
10-16-2023,32,43,39,53,12,26
10-25-2023,32,43,39,53,12,26
10-25-2023,32,43,39,53,12,26
11-01-2023,32,43,39,53,12,26
11-06-2023,32,43,39,53,12,26
11-07-2023,32,43,39,53,12,26
11-08-2023,32,43,39,53,12,26
11-17-2023,32,43,39,53,12,26
11-29-2023,32,43,39,53,12,26
12-04-2023,32,43,39,53,12,26
12-04-2023,32,43,39,53,12,26
12-05-2023,32,43,39,53,12,26
12-07-2023,32,43,39,53,12,26
12-13-2023,32,43,39,53,12,26
12-20-2023,32,43,39,53,12,26
12-22-2023,32,43,39,53,12,26
01-11-2024,32,43,39,53,12,26
01-19-2024,32,43,39,53,12,26
01-25-2024,32,43,39,53,12,26
02-01-2024,32,43,39,53,12,26
02-04-2024,32,43,39,53,12,26
02-06-2024,32,43,39,53,12,26
02-29-2024,32,43,39,53,12,26
03-08-2024,32,43,39,53,12,26
03-09-2024,32,43,39,53,12,26
03-11-2024,32,43,39,53,12,26
03-12-2024,32,43,39,53,12,26
03-14-2024,32,43,39,53,12,26
03-21-2024,32,43,39,53,12,26
03-22-2024,32,43,39,53,12,26
04-09-2024,32,43,39,53,12,26
04-10-2024,32,43,39,53,12,26
04-16-2024,32,43,39,53,12,26
04-18-2024,32,43,39,53,12,26
04-24-2024,32,43,39,53,12,26
05-14-2024,32,43,39,53,12,26
05-16-2024,32,43,39,53,12,26
05-16-2024,32,43,39,53,12,26
05-20-2024,32,43,39,53,12,26
05-21-2024,32,43,39,53,12,26
05-28-2024,32,43,39,53,12,26
06-03-2024,32,43,39,53,12,26
06-05-2024,32,43,39,53,12,26
06-14-2024,32,43,39,53,12,26
06-25-2024,32,43,39,53,12,26
07-08-2024,32,43,39,53,12,26
07-08-2024,32,43,39,53,12,26
07-08-2024,32,43,39,53,12,26
07-09-2024,32,43,39,53,12,26
07-23-2024,32,43,39,53,12,26
07-23-2024,32,43,39,53,12,26
07-30-2024,32,43,39,53,12,26
08-01-2024,32,43,39,53,12,26
09-09-2024,32,43,39,53,12,26
09-09-2024,32,43,39,53,12,26
09-10-2024,32,43,39,53,12,26
09-10-2024,32,43,39,53,12,26
09-10-2024,32,43,39,53,12,26
09-16-2024,32,43,39,53,12,26
09-18-2024,32,43,39,53,12,26
09-26-2024,32,43,39,53,12,26
10-02-2024,32,43,39,53,12,26
11-12-2024,32,43,39,53,12,26
11-18-2024,32,43,39,53,12,26
12-12-2024,32,43,39,53,12,26
12-17-2024,32,43,39,53,12,26
12-23-2024,32,43,39,53,12,26
12-23-2024,32,43,39,53,12,26
