Date,Type,Count
05-16-2022,Legal Basis/Precedent,2
10-25-2022,Authority,5
10-20-2022,Definition,22
10-22-2022,Supporting/Example,18
10-14-2022,Exception/Limitation,9
10-26-2022,Rescinding,15
01-14-2023,Adjusting,20
04-28-2022,Legal Basis/Precedent,25
01-28-2023,Authority,10
11-19-2023,Definition,13
09-23-2022,Supporting/Example,7
03-07-2024,Exception/Limitation,19
11-27-2022,Rescinding,25
08-28-2023,Adjusting,3
07-30-2023,Legal Basis/Precedent,17
07-04-2022,Authority,6
01-11-2022,Definition,24
10-06-2023,Supporting/Example,4
10-06-2022,Exception/Limitation,21
07-29-2023,Rescinding,14
11-13-2022,Adjusting,9
12-28-2023,Legal Basis/Precedent,11
04-12-2024,Authority,16
12-21-2022,Definition,18
03-09-2022,Supporting/Example,2
04-10-2024,Exception/Limitation,25
07-23-2023,Rescinding,6
04-02-2024,Adjusting,7
07-26-2022,Legal Basis/Precedent,13
10-16-2023,Authority,10
09-19-2023,Definition,24
02-27-2023,Supporting/Example,8
10-10-2022,Exception/Limitation,22
12-27-2023,Rescinding,20
11-28-2022,Adjusting,17
11-28-2023,Legal Basis/Precedent,15
08-24-2022,Authority,12
02-14-2022,Definition,23
08-11-2023,Supporting/Example,11
05-31-2022,Exception/Limitation,5
01-31-2024,Rescinding,19
08-14-2023,Adjusting,18
01-08-2023,Legal Basis/Precedent,8
10-25-2022,Authority,23
02-18-2023,Definition,16
03-14-2023,Supporting/Example,20
02-19-2022,Exception/Limitation,3
10-20-2023,Rescinding,12
12-16-2023,Adjusting,14
03-02-2022,Legal Basis/Precedent,25
08-29-2023,Authority,6
03-18-2023,Definition,17
03-15-2024,Supporting/Example,24
03-06-2023,Exception/Limitation,7
03-23-2024,Rescinding,21
09-22-2023,Adjusting,13
09-23-2022,Legal Basis/Precedent,15
04-14-2023,Authority,9
03-19-2024,Definition,22
01-13-2023,Supporting/Example,18
11-06-2023,Exception/Limitation,5
01-12-2023,Rescinding,14
02-11-2022,Adjusting,10
10-17-2023,Legal Basis/Precedent,17
11-28-2023,Authority,6
02-21-2024,Definition,11
02-09-2023,Supporting/Example,8
07-26-2023,Exception/Limitation,25
05-25-2022,Rescinding,2
07-04-2022,Adjusting,16
09-15-2022,Legal Basis/Precedent,3
03-09-2022,Authority,19
01-09-2024,Definition,4
07-19-2022,Supporting/Example,20
12-22-2023,Exception/Limitation,23
04-02-2023,Rescinding,12
09-05-2022,Adjusting,21
11-13-2023,Legal Basis/Precedent,10
10-16-2023,Authority,22
05-25-2022,Definition,24
01-06-2023,Supporting/Example,15
01-12-2023,Exception/Limitation,5
07-12-2022,Rescinding,18
11-02-2023,Adjusting,20
09-22-2023,Legal Basis/Precedent,7
08-12-2022,Authority,9
